Date,AAPL,AMZN,GOOG,MSFT
2019-12-31,72.24594116210938,1847.8399658203125,1337.02001953125,154.43038940429688
2020-01-02,73.89431762695312,1898.010009765625,1367.3699951171875,157.28985595703125
2020-01-03,73.17591857910156,1874.969970703125,1360.6600341796875,155.33132934570312
2020-01-06,73.7590103149414,1902.8800048828125,1394.2099609375,155.7328338623047
2020-01-07,73.41211700439453,1906.8599853515625,1393.3399658203125,154.31289672851562
2020-01-08,74.5930404663086,1891.969970703125,1404.3199462890625,156.77085876464844
2020-01-09,76.1774673461914,1901.050048828125,1419.8299560546875,158.72940063476562
2020-01-10,76.34967041015625,1883.1600341796875,1429.72998046875,157.99496459960938
2020-01-13,77.9808349609375,1891.300048828125,1439.22998046875,159.89474487304688
2020-01-14,76.92784881591797,1869.43994140625,1430.8800048828125,158.76858520507812
2020-01-15,76.5981674194336,1862.02001953125,1439.199951171875,159.79681396484375
2020-01-16,77.55767822265625,1877.93994140625,1451.699951171875,162.72482299804688
2020-01-17,78.41632843017578,1864.719970703125,1480.3900146484375,163.6355438232422
2020-01-21,77.88490295410156,1892.0,1484.4000244140625,163.0479736328125
2020-01-22,78.16289520263672,1887.4599609375,1485.949951171875,162.26454162597656
2020-01-23,78.53932189941406,1884.5799560546875,1486.6500244140625,163.26341247558594
2020-01-24,78.31298065185547,1861.6400146484375,1466.7099609375,161.6182403564453
2020-01-27,76.0101547241211,1828.3399658203125,1433.9000244140625,158.9154510498047
2020-01-28,78.16044616699219,1853.25,1452.56005859375,162.02955627441406
2020-01-29,79.7965087890625,1858.0,1458.6300048828125,164.5560302734375
2020-01-30,79.6808853149414,1870.6800537109375,1455.8399658203125,169.19776916503906
2020-01-31,76.14794921875,2008.719970703125,1434.22998046875,166.70065307617188
2020-02-03,75.93880462646484,2004.199951171875,1485.93994140625,170.76461791992188
2020-02-04,78.44583129882812,2049.669921875,1447.0699462890625,176.3855743408203
2020-02-05,79.08550262451172,2039.8699951171875,1448.22998046875,176.17015075683594
2020-02-06,80.01056671142578,2050.22998046875,1476.22998046875,179.8228302001953
2020-02-07,78.9229965209961,2079.280029296875,1479.22998046875,180.07742309570312
2020-02-10,79.29785919189453,2133.909912109375,1508.6800537109375,184.7877197265625
2020-02-11,78.81942749023438,2150.800048828125,1508.7900390625,180.6160430908203
2020-02-12,80.69120788574219,2160.0,1518.27001953125,180.88043212890625
2020-02-13,80.11660766601562,2149.8701171875,1514.6600341796875,179.90118408203125
2020-02-14,80.13633728027344,2134.8701171875,1520.739990234375,181.50718688964844
2020-02-18,78.66899108886719,2155.669921875,1519.6700439453125,183.3481903076172
2020-02-19,79.808349609375,2170.219970703125,1526.68994140625,183.89808654785156
2020-02-20,78.98958587646484,2153.10009765625,1518.1500244140625,181.08973693847656
2020-02-21,77.20166015625,2095.969970703125,1485.1099853515625,175.36497497558594
2020-02-24,73.5345458984375,2009.2900390625,1421.5899658203125,167.8040313720703
2020-02-25,71.04377746582031,1972.739990234375,1388.449951171875,165.03497314453125
2020-02-26,72.17079162597656,1979.5899658203125,1393.1800537109375,167.09703063964844
2020-02-27,67.45311737060547,1884.300048828125,1318.0899658203125,155.32354736328125
2020-02-28,67.41365051269531,1883.75,1339.3299560546875,159.0843963623047
2020-03-02,73.68991088867188,1953.949951171875,1389.1099853515625,169.66973876953125
2020-03-03,71.34956359863281,1908.989990234375,1341.3900146484375,161.53924560546875
2020-03-04,74.65909576416016,1975.8299560546875,1386.52001953125,167.47018432617188
2020-03-05,72.23737335205078,1924.030029296875,1319.0400390625,163.26747131347656
2020-03-06,71.27806854248047,1901.0899658203125,1298.4100341796875,158.65234375
2020-03-09,65.6405258178711,1800.6099853515625,1215.56005859375,147.90008544921875
2020-03-10,70.36805725097656,1891.8199462890625,1280.3900146484375,158.01406860351562
2020-03-11,67.92413330078125,1820.8599853515625,1215.4100341796875,150.8557586669922
2020-03-12,61.21631622314453,1676.6099853515625,1114.9100341796875,136.54884338378906
2020-03-13,68.55052947998047,1785.0,1219.72998046875,155.96180725097656
2020-03-16,59.73172378540039,1689.1500244140625,1084.3299560546875,132.97457885742188
2020-03-17,62.358123779296875,1807.8399658203125,1119.800048828125,143.92323303222656
2020-03-18,60.831600189208984,1830.0,1096.800048828125,137.86463928222656
2020-03-19,60.365509033203125,1880.9300537109375,1115.2900390625,140.13291931152344
2020-03-20,56.53316879272461,1846.0899658203125,1072.3199462890625,134.86972045898438
2020-03-23,55.33217239379883,1902.8299560546875,1056.6199951171875,133.52442932128906
2020-03-24,60.88339614868164,1940.0999755859375,1134.4599609375,145.66123962402344
2020-03-25,60.548004150390625,1885.8399658203125,1102.489990234375,144.26690673828125
2020-03-26,63.734230041503906,1955.489990234375,1161.75,153.2909393310547
2020-03-27,61.09548568725586,1900.0999755859375,1110.7099609375,146.99667358398438
2020-03-30,62.83902359008789,1963.949951171875,1146.8199462890625,157.3365478515625
2020-03-31,62.71078109741211,1949.719970703125,1162.81005859375,154.862060546875
2020-04-01,59.41112518310547,1907.699951171875,1105.6199951171875,149.36317443847656
2020-04-02,60.402503967285156,1918.8299560546875,1120.8399658203125,152.45626831054688
2020-04-03,59.53443145751953,1906.5899658203125,1097.8800048828125,151.05210876464844
2020-04-06,64.72806549072266,1997.5899658203125,1186.9200439453125,162.2855224609375
2020-04-07,63.978355407714844,2011.5999755859375,1186.510009765625,160.53770446777344
2020-04-08,65.61585998535156,2043.0,1210.280029296875,162.1480712890625
2020-04-09,66.08934020996094,2042.760009765625,1211.449951171875,162.1578826904297
